date,municipio,confirmados_laboratorial,confirmados_clinico_epidemiologico,confirmados_teste_rapido,total_confirmados,aguardando_validacao_dos_municipios,porcentagem,populacao,coef_incidencia_100k_hab,qtd_dias_ultimo_caso
2020-08-06,PALMAS DE MONTE ALTO,17,0,23,40,2,0.02,21750,183.91,1
2020-08-06,LIVRAMENTO DE NOSSA SENHORA,18,0,18,36,0,0.02,45732,78.72,0
2020-08-06,CONDEUBA,21,0,12,33,0,0.02,17247,191.34,5
2020-08-06,FIRMINO ALVES,10,0,21,31,0,0.02,5617,551.90,10
2020-08-06,MAETINGA,8,0,21,29,0,0.02,3161,917.43,0
2020-08-06,RIO DE CONTAS,21,0,7,28,0,0.02,12989,215.57,1
2020-08-06,MACAUBAS,7,0,18,25,2,0.01,49826,50.17,1
2020-08-06,CONTENDAS DO SINCORA,0,0,25,25,2,0.01,4066,614.85,1
2020-08-06,MIRANTE,8,0,16,24,6,0.01,8641,277.75,1
2020-08-06,MALHADA,3,0,21,24,0,0.01,16845,142.48,0
2020-08-06,ARACATU,9,0,14,23,0,0.01,13135,175.10,8
2020-08-06,PARAMIRIM,6,0,17,23,0,0.01,21607,106.45,1
2020-08-06,CORDEIROS,8,0,13,21,0,0.01,8614,243.79,1
2020-08-06,LICINIO DE ALMEIDA,5,0,15,20,0,0.01,12388,161.45,1
2020-08-06,CANDIBA,6,0,14,20,0,0.01,14319,139.67,6
2020-08-06,BOQUIRA,12,0,8,20,0,0.01,21508,92.99,4
2020-08-06,DOM BASILIO,9,0,10,19,0,0.01,12199,155.75,0
2020-08-06,RIO DO PIRES,3,0,15,18,0,0.01,11655,154.44,6
2020-08-06,IUIU,5,0,12,17,0,0.01,10994,154.63,1
2020-08-06,PINDAI,1,0,16,17,0,0.01,16260,104.55,37
2020-08-06,CAETANOS,8,0,7,15,0,0.01,14542,103.15,0
2020-08-06,CACULE,8,0,7,15,0,0.01,23170,64.74,0
2020-08-06,IGAPORA,11,0,3,14,0,0.01,15640,89.51,2
2020-08-06,RIO DO ANTONIO,6,0,7,13,0,0.01,15371,84.57,5
2020-08-06,IBIASSUCE,10,0,3,13,0,0.01,9224,140.94,13
2020-08-06,MORTUGABA,3,0,10,13,0,0.01,12042,107.96,6
2020-08-06,RIBEIRAO DO LARGO,3,0,9,12,0,0.01,5812,206.47,11
2020-08-06,IBICOARA,1,0,10,11,0,0.01,19571,56.21,13
2020-08-06,CARAIBAS,6,0,2,8,0,0.00,8951,89.38,0
2020-08-06,IBIPITANGA,0,0,8,8,0,0.00,14902,53.68,21
2020-08-06,ITUACU,4,0,3,7,0,0.00,18962,36.92,1
2020-08-06,BARRA DA ESTIVA,2,0,5,7,0,0.00,20598,33.98,14
2020-08-06,SEBASTIAO LARANJEIRAS,3,0,3,6,0,0.00,11434,52.48,7
