date,municipio,confirmados_laboratorial,confirmados_clinico_epidemiologico,confirmados_teste_rapido,total_confirmados,aguardando_validacao_dos_municipios,porcentagem,populacao,coef_incidencia_100k_hab,qtd_dias_ultimo_caso
2020-06-26,ITACARE,93,0,1,94,0,0.17,28296,332.20,1
2020-06-26,AURELINO LEAL,16,5,50,71,6,0.13,11531,615.73,0
2020-06-26,UBATA,44,5,22,71,0,0.13,27035,262.62,0
2020-06-26,JAGUAQUARA,33,0,35,68,0,0.12,54423,124.95,0
2020-06-26,WENCESLAU GUIMARAES,30,0,34,64,0,0.11,21101,303.30,0
2020-06-26,COARACI,36,0,24,60,0,0.11,16993,353.09,0
2020-06-26,SAO JOSE DA VITORIA,19,0,40,59,0,0.11,5657,1042.96,0
2020-06-26,IBIRAPITANGA,20,2,34,56,0,0.10,23375,239.57,1
2020-06-26,UBAITABA,21,8,27,56,0,0.10,19056,293.87,0
2020-06-26,BUERAREMA,39,0,15,54,1,0.10,18349,294.29,1
2020-06-26,ITAGIBA,28,0,23,51,0,0.09,14579,349.82,2
2020-06-26,IBIRATAIA,30,5,13,48,0,0.09,15312,313.48,1
2020-06-26,TEOLANDIA,7,1,37,45,2,0.08,14943,301.14,0
2020-06-26,FLORESTA AZUL,12,2,29,43,0,0.08,10629,404.55,0
2020-06-26,CAIRU,19,0,22,41,1,0.07,18176,225.57,0
2020-06-26,CAMAMU,20,0,19,39,0,0.07,35316,110.43,0
2020-06-26,PIRAI DO NORTE,17,2,14,33,0,0.06,10023,329.24,0
2020-06-26,IGRAPIUNA,6,7,17,30,1,0.05,13226,226.83,0
2020-06-26,CANAVIEIRAS,26,3,1,30,0,0.05,31099,96.47,21
