regex,municipio
^[^A-Z]*PEDRÃO[^A-Z]*$,Pedrão
^[^A-Z]*JUAZEIRO[^A-Z]*$,Juazeiro
^[^A-Z]*PAULO[^A-Z]+AFONSO[^A-Z]*$,Paulo Afonso
^[^A-Z]*SOBRADINHO[^A-Z]*$,Sobradinho
^[^A-Z]*SENHOR[^A-Z]+DO[^A-Z]+BONFIM[^A-Z]*$,Senhor do Bonfim
^[^A-Z]*CASA[^A-Z]+NOVA[^A-Z]*$,Casa Nova
^[^A-Z]*CAMPO[^A-Z]+FORMOSO[^A-Z]*$,Campo Formoso
^[^A-Z]*FILADELFIA[^A-Z]*$,Filadélfia
^[^A-Z]*FILADÉLFIA[^A-Z]*$,Filadélfia
^[^A-Z]*CURACA[^A-Z]*$,Curaçá
^[^A-Z]*CURAÇÁ[^A-Z]*$,Curaçá
^[^A-Z]*JAGUARARI[^A-Z]*$,Jaguarari
^[^A-Z]*PILAO[^A-Z]+ARCADO[^A-Z]*$,Pilão Arcado
^[^A-Z]*PILÃO[^A-Z]+ARCADO[^A-Z]*$,Pilão Arcado
^[^A-Z]*CAMPO[^A-Z]+ALEGRE[^A-Z]+DE[^A-Z]+LOURDES[^A-Z]*$,Campo Alegre de Lourdes
^[^A-Z]*REMANSO[^A-Z]*$,Remanso
^[^A-Z]*SENTO[^A-Z]+SE[^A-Z]*$,Sento Sé
^[^A-Z]*SENTO[^A-Z]+SÉ[^A-Z]*$,Sento Sé
^[^A-Z]*UAUA[^A-Z]*$,Uauá
^[^A-Z]*UAUÁ[^A-Z]*$,Uauá
^[^A-Z]*PINDOBACU[^A-Z]*$,Pindobaçu
^[^A-Z]*PINDOBAÇU[^A-Z]*$,Pindobaçu
^[^A-Z]*PONTO[^A-Z]+NOVO[^A-Z]*$,Ponto Novo
^[^A-Z]*GLORIA[^A-Z]*$,Glória
^[^A-Z]*GLÓRIA[^A-Z]*$,Glória
^[^A-Z]*MACURURE[^A-Z]*$,Macururé
^[^A-Z]*MACURURÉ[^A-Z]*$,Macururé
^[^A-Z]*CANUDOS[^A-Z]*$,Canudos
^[^A-Z]*ANTONIO[^A-Z]+GONCALVES[^A-Z]*$,Antônio Gonçalves
^[^A-Z]*ANTÔNIO[^A-Z]+GONÇALVES[^A-Z]*$,Antônio Gonçalves
^[^A-Z]*SANTA[^A-Z]+BRIGIDA[^A-Z]*$,Santa Brígida
